M,p1_luck,p2_luck,p1_skill,p2_skill,p1_chips,p2_chips
1,-170.9503,170.9503,-166.307,166.307,19662.7427,20337.2573
2,-146.6073,146.6073,-126.5132,126.5132,19726.8795,20273.1205
3,-156.0986,156.0986,-131.4509,131.4509,19712.4505,20287.5495
4,-168.1317,168.1317,-165.2023,165.2023,19666.666,20333.334
5,-164.7647,164.7647,-146.6665,146.6665,19688.5688,20311.4312
6,-148.0081,148.0081,-139.015,139.015,19712.9769,20287.0231
7,-135.701,135.701,-83.1894,83.1894,19781.1096,20218.8904
8,-137.8166,137.8166,-112.0377,112.0377,19750.1457,20249.8543
9,-150.6281,150.6281,-134.8186,134.8186,19714.5533,20285.4467
10,-164.9197,164.9197,-150.5418,150.5418,19684.5385,20315.4615
